,speaker,text
0,lee cronin, every star in the sky probably has planets and life is probably emerging on these planets but i think the commentorial space associated with these planets is so different our causal cones are never going to overlap or not easily and this is the thing that makes me sad about alien life why we have to create alien life in the lab as quickly as possible because i dont know if we are going to be able to build architectures that will intersect with alien intelligence architectures
1,lex fridman, intersect you dont mean in time or space
2,lee cronin, time and the ability to communicate
3,lex fridman, the ability to communicate
4,lee cronin, yeah my biggest fear in a way is that life is everywhere but weve become infinitely more lonely because of our scaffolding in that commentorial space
5,lex fridman, the following is a conversation with lee cronin his third time in this podcast hes a chemist from university of glasgow who is one of the most fascinating brilliant and fun to talk to scientists ive ever had the pleasure of getting to know this is the lex fridman podcast to support it please check out our sponsors in the description and now dear friends heres lee cronin
6,lex fridman,assembly theory paper
7,lex fridman, so your big assembly theory paper was published in nature congratulations
8,lee cronin, thanks
9,lex fridman, it created i think its fair to say a lot of controversy but also a lot of interesting discussion so maybe i can try to summarize assembly theory and you tell me if im wrong
10,lee cronin, go for it
11,lex fridman, so assembly theory says that if we look at any object in the universe any object that we can quantify how complex it is by trying to find the number of steps it took to create it and also we can determine if it was built by a process akin to evolution by looking at how many copies of the object there are
12,lee cronin, yep thats spot on yep
13,lex fridman, spot on
14,lee cronin, spot on
15,lex fridman, i was not expecting that okay so lets go through definitions so theres a central equation id love to talk about but definition wise what is an object
16,lee cronin, yeah an object so if im going to try to be as meticulous as possible objects need to be finite and they need to be decomposable into subunits all human made artifacts are objects is a planet an object probably yes if you scale out so an object is finite and accountable and decomposable i suppose mathematically but yeah i still wake up some days and go to think to myself what is an object because its a nontrivial question
17,lex fridman, persists over time im quoting from the paper here an object is finite is distinguishable im sure thats a weird adjective distinguishable
18,lee cronin, weve had so many people help offering to rewrite the paper after it came out you wouldnt believe its so funny
19,lex fridman, persists over time and is breakable such that the set of constraints to construct it from elementary building blocks is quantifiable such that the set of constraints to construct it from elementary building blocks is quantifiable
20,lee cronin, the history is in the objects its kind of cool right
21,lex fridman, okay so what defines the object is its history or memory whichever is the sexier word
22,lee cronin, im happy with both depending on the day
23,lex fridman, okay so the set of steps it took to create the object so theres a sense in which every object in the universe has a history and that is part of the thing that is used to describe its complexity how complicated it is okay what is an assembly index
24,lee cronin, so the assembly index if youre to take the object apart and be super lazy about it or minimal say cause its like youve got a really shortterm memory so what you do is you lay all the parts on the path and you find the minimum number of steps you take on the path to add the parts together to reproduce the object and that minimum number is the assembly index its minimum bound and it was always my intuition the minimum bound and assembly theory was really important that i only worked out why a few weeks ago which is kind of funny cause i was just like no this is sacrosanct i dont know why itll come to me one day
